    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              1,         0,           0,          1,             0,               0,              1,        0,          0,         0
    1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         1
    2,             1,               1,              8,         3,           2,         20,             0,               0,              1,        0,          1,         3
    3,             3,               3,              4,         8,           3,          6,             1,               1,              2,        1,          3,         3
    4,             4,               3,              3,        11,           4,          6,             3,               1,              2,        4,          6,         5
    5,             5,               3,              4,        17,           6,          9,             6,               1,              3,        8,          9,         7
    6,             7,               4,              5,        21,           7,         10,            10,               1,              4,       12,         11,         9
    7,            10,               6,              6,        26,           8,         12,            15,               2,              6,       16,         14,        11
    8,            11,               6,              7,        30,           9,         14,            21,               2,              7,       22,         19,        14
    9,            12,               6,              7,        36,          10,         16,            28,               2,              9,       29,         22,        17
   10,            13,               6,              8,        38,          10,         17,            36,               2,             11,       35,         27,        21
   11,            15,               7,              9,        49,          15,         31,            45,               2,             21,       42,         31,        34
   12,            16,               7,             15,        53,          15,         35,            55,               3,             22,       48,         36,        41
   13,            18,               8,             12,        55,          15,         24,            66,               3,             22,       55,         40,        36
   14,            19,               8,             15,        67,          18,         51,            78,               4,             39,       61,         45,        58
   15,            20,               8,             15,        71,          19,         45,            91,               4,             24,       68,         48,        94
   16,            22,               9,             21,        76,          20,         52,           105,               4,             43,       77,         56,        81
   17,            25,              11,             23,        86,          23,         83,           120,               5,             58,       87,         61,        73
   18,            26,              11,             20,        83,          21,         51,           136,               5,             71,       95,         66,        97
   19,            27,              11,             16,        90,          21,         37,           153,               5,             37,      105,         71,        53
   20,            29,              12,             15,        98,          24,         39,           171,               5,             55,      113,         77,        59
   21,            30,              12,             16,       110,          26,         44,           190,               6,             46,      123,         82,        60
   22,            31,              12,             16,       118,          28,         46,           210,               6,             49,      130,         87,        64
   23,            33,              13,             17,       125,          32,         49,           231,               6,             54,      141,         93,        68
   24,            34,              13,             24,       133,          34,         65,           253,               7,             76,      150,        100,       112
   25,            35,              13,             19,       141,          35,        112,           276,               7,             76,      160,        105,        78
   26,            36,              13,             19,       150,          37,         69,           300,               7,             98,      168,        110,        81
   27,            37,              13,             19,       140,          32,         64,           325,               7,             72,      178,        115,        84
   28,            41,              16,             21,       148,          34,         57,           351,               7,             93,      185,        121,       114
   29,            43,              17,             22,       173,          39,         65,           378,              10,             82,      193,        124,        86
   30,            44,              17,             21,       177,          38,         85,           406,              11,             92,      202,        131,       108
   31,            45,              17,             23,       179,          42,        102,           435,              11,            143,      212,        136,       108
   32,            46,              17,             24,       184,          42,         74,           465,              11,            107,      223,        145,       162
   33,            49,              19,             24,       199,          46,        116,           496,              11,            120,      236,        150,       139
   34,            51,              20,             27,       206,          46,         81,           528,              13,            117,      246,        156,       115
   35,            55,              23,             28,       207,          47,         78,           561,              14,            125,      257,        163,       122
   36,            56,              23,             47,       211,          47,         85,           595,              13,            139,      267,        168,       136
   37,            57,              23,             33,       219,          47,         84,           630,              13,            140,      279,        175,       127
   38,            59,              24,             31,       226,          48,        119,           666,              13,            152,      289,        181,       139
   39,            60,              24,             32,       237,          53,         95,           703,              14,            155,      301,        188,       147
   40,            61,              24,             33,       240,          52,        126,           741,              14,            177,      311,        193,       141
   41,            62,              24,             32,       255,          55,         94,           780,              14,            166,      323,        200,       146
   42,            64,              25,             61,       250,          53,        195,           820,              14,            216,      333,        206,       159
   43,            67,              27,             36,       277,          60,        117,           861,              15,            195,      345,        213,       151
   44,            69,              28,             39,       284,          61,        108,           903,              15,            187,      356,        221,       154
   45,            70,              28,             33,       285,          58,        100,           946,              16,            192,      368,        226,       172
   46,            71,              28,             34,       294,          60,        103,           990,              16,            198,      378,        233,       160
   47,            73,              29,             37,       299,          65,        108,          1035,              16,            277,      390,        239,       271
   48,            76,              31,             53,       308,          66,        164,          1081,              17,            259,      400,        246,       284
   49,            77,              31,             53,       324,          69,        129,          1128,              17,            224,      413,        251,       187
   50,            78,              31,             37,       328,          69,        115,          1176,              17,            233,      422,        258,       178
   51,            80,              32,             37,       331,          71,        116,          1225,              17,            252,      433,        268,       199
   52,            82,              33,             39,       334,          70,        117,          1275,              18,            252,      444,        272,       199
   53,            83,              33,             40,       365,          73,        127,          1326,              19,            260,      456,        279,       192
   54,            84,              33,             39,       370,          74,        127,          1378,              19,            375,      466,        285,       198
   55,            85,              33,             42,       354,          72,        126,          1431,              19,            336,      479,        290,       208
   56,            86,              33,             41,       382,          77,        134,          1485,              19,            293,      486,        297,       222
   57,            87,              33,             42,       368,          74,        145,          1540,              19,            303,      497,        302,       210
   58,            88,              33,             41,       380,          75,        144,          1596,              19,            314,      510,        311,       228
   59,            89,              33,             42,       407,          82,        141,          1653,              19,            335,      523,        316,       227
   60,            90,              33,             43,       407,          81,        141,          1711,              19,            346,      531,        321,       225
   61,            91,              33,             42,       434,          82,        148,          1770,              19,            346,      542,        328,       242
   62,            92,              33,             42,       444,          84,        151,          1830,              19,            357,      554,        337,       249
   63,            93,              33,             44,       434,          78,        148,          1891,              19,            367,      567,        342,       239
   64,            95,              34,             56,       457,          81,        155,          1953,              19,            457,      579,        352,       298
   65,            96,              34,             46,       440,          80,        150,          2016,              20,            418,      595,        361,       259
   66,            97,              34,             55,       439,          81,        151,          2080,              20,            404,      607,        368,       259
   67,            98,              34,             45,       458,          88,        159,          2145,              20,            416,      621,        375,       261
   68,            99,              34,             45,       468,          90,        206,          2211,              20,            443,      634,        383,       268
   69,           100,              34,             57,       475,          85,        162,          2278,              20,            443,      649,        392,       274
   70,           101,              34,             57,       479,          89,        165,          2346,              20,            453,      661,        399,       316
   71,           102,              34,             48,       474,          89,        163,          2415,              20,            475,      675,        404,       529
   72,           103,              34,             63,       484,          91,        232,          2485,              20,            526,      683,        411,       296
   73,           104,              34,             47,       503,          94,        185,          2556,              20,            546,      697,        416,       299
   74,           105,              34,             47,       507,          94,        186,          2628,              20,            508,      713,        427,       311
   75,           106,              34,             59,       514,          95,        176,          2701,              20,            522,      728,        436,       316
   76,           107,              34,             49,       529,         101,        188,          2775,              20,            544,      740,        443,       393
