   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              1,         0,           0,          1,             0,               0,              1,        0,          0,         0
   1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         1
   2,             1,               0,             22,         5,           2,          7,             0,               0,              1,        0,          1,         3
   3,             3,               2,              4,         7,           3,         18,             1,               0,              1,        1,          3,        22
   4,             4,               2,              3,        12,           4,          7,             3,               2,              3,        4,          6,         5
   5,             5,               2,              3,        15,           5,          8,             6,               2,              3,        8,          9,         7
   6,             6,               2,              4,        22,           7,         10,            10,               2,              4,       11,         12,         9
   7,             7,               2,              4,        27,           9,         14,            15,               2,              9,       14,         13,        16
   8,             8,               2,              5,        28,           9,         14,            21,               2,              7,       20,         18,        26
   9,             9,               2,              5,        36,          10,         15,            28,               2,              8,       27,         21,        15
  10,            10,               2,              5,        42,          12,         18,            36,               2,             10,       33,         26,        35
  11,            11,               2,              5,        49,          13,         20,            45,               2,             12,       40,         29,        21
  12,            13,               3,              6,        54,          15,         21,            55,               2,             14,       47,         35,        43
  13,            14,               3,              7,        57,          15,         24,            66,               3,             17,       54,         38,        30
  14,            15,               3,             12,        67,          18,         41,            78,               3,             19,       59,         42,        48
  15,            16,               3,             12,        72,          20,         41,            91,               3,             22,       67,         45,        34
  16,            17,               3,             21,        82,          22,         51,           105,               3,             43,       75,         52,        48
  17,            19,               4,              9,        79,          21,         44,           120,               3,             30,       85,         56,        41
  18,            20,               4,             10,        81,          21,         45,           136,               4,             41,       93,         63,        67
  19,            21,               4,             14,        91,          22,         51,           153,               4,             38,      103,         68,        58
  20,            23,               5,             12,        96,          24,         39,           171,               4,             39,      111,         74,        54
  21,            25,               6,             12,       113,          27,         44,           190,               5,             43,      120,         78,        57
  22,            26,               6,             12,       118,          27,         46,           210,               6,             47,      129,         83,        61
  23,            27,               6,             12,       125,          31,         49,           231,               6,             51,      139,         88,        65
  24,            28,               6,             13,       130,          32,         52,           253,               6,             74,      147,         97,        71
  25,            29,               6,             14,       131,          31,         52,           276,               6,             61,      157,        102,        74
  26,            31,               7,             15,       140,          33,         54,           300,               6,             65,      165,        108,        78
  27,            33,               8,             15,       145,          32,         55,           325,               7,             72,      174,        112,        82
  28,            36,              10,             17,       154,          34,         59,           351,               8,             77,      183,        119,        86
  29,            37,              10,             17,       161,          37,         62,           378,               8,             83,      193,        124,        90
  30,            38,              10,             18,       167,          37,        276,           406,               8,             91,      201,        129,       116
  31,            40,              11,             22,       179,          41,        101,           435,               8,            164,      211,        135,       161
  32,            41,              11,             30,       193,          44,         96,           465,               9,            103,      222,        144,       128
  33,            42,              11,             23,       199,          44,         78,           496,               9,            109,      235,        149,       111
  34,            43,              11,             21,       208,          46,         80,           528,               9,            114,      245,        156,       115
  35,            45,              12,             22,       200,          45,         80,           561,               9,            142,      257,        162,       162
  36,            46,              12,             26,       200,          44,         82,           595,              10,            130,      268,        171,       126
  37,            47,              12,             23,       219,          45,         86,           630,              10,            138,      280,        178,       133
  38,            48,              12,             42,       236,          49,         91,           666,              10,            147,      289,        183,       146
  39,            49,              12,             24,       226,          49,         87,           703,              10,            151,      301,        188,       140
  40,            51,              13,             24,       233,          50,         92,           741,              10,            175,      309,        192,       191
  41,            52,              13,             44,       250,          52,        145,           780,              11,            167,      322,        197,       151
  42,            53,              13,             51,       259,          54,        102,           820,              11,            174,      333,        208,       161
  43,            54,              13,             27,       264,          55,        110,           861,              11,            218,      345,        215,       202
  44,            55,              13,             85,       272,          56,        106,           903,              11,            198,      355,        222,       168
  45,            56,              13,             27,       283,          59,        112,           946,              11,            211,      367,        227,       180
  46,            57,              13,             30,       288,          59,        114,           990,              11,            219,      377,        234,       209
  47,            59,              14,             33,       290,          60,        110,          1035,              11,            214,      389,        240,       176
  48,            61,              15,             33,       297,          60,        114,          1081,              12,            226,      398,        247,       179
  49,            62,              15,             28,       324,          63,        118,          1128,              13,            261,      411,        253,       267
  50,            63,              15,             31,       333,          65,        125,          1176,              13,            245,      419,        258,       204
  51,            65,              16,             30,       325,          68,        121,          1225,              13,            253,      432,        265,       193
  52,            67,              17,             30,       336,          69,        123,          1275,              14,            273,      445,        277,       206
  53,            70,              19,             32,       341,          68,        125,          1326,              15,            280,      454,        278,       267
  54,            73,              21,             36,       361,          76,        147,          1378,              15,            325,      464,        285,       279
  55,            74,              21,             34,       355,          72,        129,          1431,              17,            294,      477,        292,       239
  56,            75,              21,             38,       350,          68,        176,          1485,              17,            308,      486,        296,       219
  57,            76,              21,             35,       375,          73,        136,          1540,              17,            343,      499,        303,       228
  58,            77,              21,             35,       374,          73,        136,          1596,              17,            334,      509,        312,       233
  59,            78,              21,             37,       383,          74,        139,          1653,              17,            337,      521,        317,       245
  60,            79,              21,             36,       399,          74,        143,          1711,              17,            349,      532,        326,       247
  61,            80,              21,             37,       413,          79,        150,          1770,              17,            360,      545,        332,       281
  62,            81,              21,             35,       415,          77,        167,          1830,              17,            352,      555,        337,       234
  63,            82,              21,             35,       425,          83,        160,          1891,              17,            365,      567,        344,       247
  64,            84,              22,             36,       432,          85,        149,          1953,              17,            386,      578,        352,       243
  65,            85,              22,             37,       430,          81,        148,          2016,              18,            398,      592,        359,       250
  66,            86,              22,             37,       458,          86,        156,          2080,              18,            411,      606,        368,       263
  67,            87,              22,             39,       452,          85,        155,          2145,              18,            421,      621,        375,       269
  68,            89,              23,             38,       473,          92,        163,          2211,              18,            443,      634,        383,       343
  69,            92,              25,             41,       479,          92,        165,          2278,              19,            447,      649,        390,       283
  70,            96,              28,             42,       482,          92,        166,          2346,              19,            458,      661,        398,       277
  71,           100,              31,             45,       486,          91,        166,          2415,              20,            471,      674,        405,       291
  72,           101,              31,             46,       496,          91,        383,          2485,              21,            578,      683,        414,       286
  73,           102,              31,             63,       490,          89,        268,          2556,              21,            751,      694,        419,       395
  74,           103,              31,             48,       492,          91,        177,          2628,              21,            537,      712,        430,       321
  75,           104,              31,             48,       508,          91,        202,          2701,              21,            513,      727,        437,       344
  76,           105,              31,             47,       521,          93,        176,          2775,              21,            526,      739,        446,       340
