  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              2,         0,           0,          1,             0,               0,              1,        0,          0,         1
  1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         2
  2,             1,               0,              6,         5,           2,          9,             0,               0,              1,        0,          1,         4
  3,             2,               0,              2,         6,           2,          7,             1,               0,              2,        1,          2,         4
  4,             4,               1,              5,        10,           4,         10,             3,               0,              3,        4,          6,         8
  5,             5,               1,              5,        16,           5,         12,             6,               1,              5,        8,          9,        11
  6,             9,               4,             10,        24,           8,         19,            10,               1,              7,       12,         11,        11
  7,            12,               6,              8,        28,          10,         31,            15,               2,              6,       16,         12,        11
  8,            13,               6,             12,        30,           9,         21,            21,               2,              7,       22,         17,        14
  9,            14,               6,              8,        39,          11,         18,            28,               2,              9,       29,         20,        16
 10,            16,               7,              9,        43,          12,         19,            36,               2,             10,       34,         24,        18
 11,            18,               8,             10,        56,          14,         23,            45,               3,             13,       40,         28,        21
 12,            19,               8,             10,        58,          16,         24,            55,               4,             15,       46,         33,        24
 13,            20,               8,             10,        60,          16,         25,            66,               4,             17,       53,         38,        27
 14,            21,               8,             11,        67,          19,         28,            78,               4,             19,       59,         44,        31
 15,            22,               8,             11,        72,          20,         31,            91,               4,             22,       66,         48,        34
 16,            23,               8,             12,        74,          20,         31,           105,               4,             25,       74,         55,        39
 17,            24,               8,             26,        85,          20,         35,           120,               4,             30,       84,         60,        43
 18,            25,               8,             13,        86,          19,         34,           136,               4,             32,       92,         65,        46
 19,            27,               9,             14,        95,          25,         39,           153,               4,             35,      102,         71,        50
 20,            28,               9,             14,       101,          25,         41,           171,               5,             39,      110,         76,        53
 21,            29,               9,             14,       114,          28,         45,           190,               5,             43,      120,         81,        57
 22,            30,               9,             14,       123,          30,         49,           210,               5,             59,      128,         88,        63
 23,            31,               9,             16,       130,          29,         51,           231,               5,             51,      138,         93,        65
 24,            32,               9,             15,       138,          31,         53,           253,               5,             81,      146,         97,        69
 25,            33,               9,             16,       137,          31,         54,           276,               5,             60,      156,        102,        73
 26,            34,               9,             16,       144,          33,         56,           300,               5,             65,      164,        110,        81
 27,            35,               9,             17,       153,          35,         60,           325,               5,             69,      174,        115,        81
 28,            37,              10,             17,       163,          38,         63,           351,               5,             74,      182,        121,        84
 29,            39,              11,             18,       160,          36,         61,           378,               6,             79,      191,        125,        87
 30,            40,              11,             18,       171,          38,         78,           406,               7,             86,      199,        132,        93
 31,            41,              11,             19,       176,          40,         68,           435,               7,             92,      209,        137,        96
 32,            42,              11,             19,       184,          42,         71,           465,               7,             98,      219,        142,       100
 33,            43,              11,             19,       184,          41,         87,           496,               7,            104,      231,        149,       106
 34,            44,              11,             20,       188,          40,         72,           528,               7,            108,      241,        156,       109
 35,            46,              12,             21,       201,          39,         74,           561,               7,            114,      253,        162,       114
 36,            48,              13,             25,       206,          42,         78,           595,               8,            122,      263,        169,       119
 37,            50,              14,             23,       220,          45,         82,           630,               9,            128,      275,        175,       123
 38,            55,              18,             26,       232,          49,         86,           666,              10,            146,      286,        182,       129
 39,            56,              18,             27,       235,          52,        104,           703,               8,            143,      295,        185,       132
 40,            57,              18,             27,       244,          54,         92,           741,               8,            160,      308,        194,       138
 41,            58,              18,             28,       246,          52,         92,           780,               8,            157,      320,        201,       142
 42,            59,              18,             27,       254,          54,         94,           820,               8,            199,      327,        206,       180
 43,            61,              19,             30,       262,          54,         98,           861,               8,            173,      341,        212,       151
 44,            63,              20,             29,       278,          57,        102,           903,               9,            194,      351,        218,       155
 45,            65,              21,             31,       283,          56,        105,           946,              10,            190,      363,        224,       160
 46,            66,              21,             31,       293,          60,        122,           990,              11,            199,      373,        231,       165
 47,            67,              21,             32,       310,          61,        113,          1035,              11,            206,      385,        238,       180
 48,            68,              21,             34,       314,          61,        115,          1081,              11,            249,      394,        243,       176
 49,            69,              21,             33,       316,          62,        116,          1128,              11,            235,      406,        250,       180
 50,            71,              22,             34,       334,          66,        123,          1176,              11,            235,      416,        256,       197
 51,            72,              22,             35,       322,          63,        118,          1225,              12,            243,      429,        260,       186
 52,            73,              22,             34,       335,          66,        122,          1275,              12,            264,      439,        270,       193
 53,            75,              23,             35,       357,          66,        130,          1326,              12,            262,      450,        276,       258
