 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              3,         0,           0,         11,             0,               0,              2,        0,          0,         6
 1,             0,               0,              3,         0,           0,          1,             0,               0,              2,        0,          0,        13
 2,             1,               0,             14,         5,           2,         47,             1,               0,              6,        1,          2,        13
 3,             2,               0,              7,         6,           2,         16,             3,               0,              6,        3,          4,        15
 4,             3,               0,              7,        12,           4,         16,             6,               0,              5,        7,          8,        14
 5,             4,               0,              4,        18,           6,         17,            10,               0,              6,       12,         10,        19
 6,             6,               1,             12,        23,           8,         30,            15,               1,             15,       16,         12,        31
 7,            10,               4,             17,        24,           7,         32,            21,               3,             23,       20,         15,        24
 8,            11,               4,             12,        32,           9,         26,            28,               3,             17,       26,         21,        30
 9,            12,               4,             12,        37,          11,         30,            36,               3,             20,       34,         25,        36
10,            13,               4,             13,        43,          13,         35,            45,               3,             23,       40,         30,        42
