    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              2,         0,           0,          1,             0,               0,              1,        0,          0,         1
    1,             0,               0,              1,         0,           0,          0,             0,               0,              0,        0,          0,         2
    2,             1,               0,              4,         4,           2,          7,             0,               0,              1,        0,          1,         3
    3,             2,               0,              1,         6,           2,          5,             1,               0,              1,        1,          2,         3
    4,             5,               3,              6,        11,           5,          8,             3,               0,              2,        4,          5,         5
    5,             7,               4,              5,        18,           6,          9,             6,               3,              4,        7,          7,         6
    6,            12,               9,              8,        22,           7,         12,            10,               4,              5,       11,         10,        12
    7,            18,              15,             19,        35,          12,         31,            15,               3,              6,       17,         14,        11
    8,            25,              21,             17,        41,          15,         21,            21,               5,              8,       23,         18,        14
    9,            28,              23,             31,        43,          14,         26,            28,               5,             10,       27,         19,        21
   10,            35,              29,             30,        48,          15,         25,            36,               7,             12,       34,         21,        18
   11,            36,              29,             23,        52,          19,         26,            45,               9,             15,       41,         26,        21
   12,            46,              38,             42,        70,          21,         33,            55,               9,             17,       48,         33,        39
   13,            50,              41,             50,        69,          23,         72,            66,               6,             19,       52,         37,        28
   14,            56,              46,             37,        75,          24,         53,            78,               7,             22,       59,         41,        38
   15,            60,              49,             39,        81,          26,         40,            91,              10,             25,       63,         43,        33
   16,            69,              57,             46,        93,          28,         76,           105,              11,             31,       72,         50,        38
   17,            72,              59,             47,        94,          28,         55,           120,              11,             31,       82,         57,        40
   18,            87,              73,             54,       107,          31,         66,           136,              13,             49,       89,         59,        42
   19,            97,              82,             80,       122,          36,         69,           153,              15,             38,       98,         65,        65
   20,           101,              85,             65,       128,          36,         90,           171,              16,             44,      106,         71,        53
   21,           112,              95,            113,       142,          40,         97,           190,              17,             66,      114,         74,       100
   22,           113,              95,             73,       138,          38,         74,           210,              17,             70,      123,         81,        88
   23,           116,              97,             74,       147,          40,         76,           231,              17,             54,      133,         86,        60
   24,           126,             106,             77,       151,          43,         63,           253,              19,             59,      140,         90,        62
   25,           147,             126,             90,       168,          47,         69,           276,              22,             64,      148,         94,        78
   26,           159,             137,             98,       190,          50,         77,           300,              20,             68,      158,        100,        71
   27,           176,             153,            108,       194,          48,         76,           325,              21,             73,      172,        107,        75
   28,           182,             158,            118,       202,          54,         81,           351,              25,             79,      179,        111,        98
   29,           189,             164,            116,       205,          54,         82,           378,              24,             84,      187,        114,        81
   30,           211,             185,            129,       215,          55,         86,           406,              26,             90,      192,        121,        84
   31,           241,             215,            149,       216,          56,         86,           435,              25,             95,      201,        125,        87
   32,           268,             241,            165,       232,          62,         94,           465,              29,            101,      207,        127,        89
   33,           294,             266,            183,       224,          59,         90,           496,              31,            108,      221,        136,        94
