   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              2,         0,           0,          1,             0,               0,              1,        0,          0,         1
   1,             0,               0,              1,         0,           0,          0,             0,               0,              0,        0,          0,         1
   2,             1,               0,              4,         4,           2,          6,             0,               0,              1,        0,          1,         4
   3,             3,               1,              6,         8,           3,          8,             1,               0,              2,        1,          3,         5
   4,             4,               1,              5,        14,           5,         13,             3,               1,              3,        4,          6,         6
   5,             8,               4,              5,        21,           7,         12,             6,               1,              3,        8,          8,         7
   6,            11,               6,              6,        26,          10,         14,            10,               2,              4,       13,         13,        10
   7,            16,              10,             10,        29,          12,         17,            15,               2,              6,       17,         14,        11
   8,            20,              13,             12,        39,          13,         19,            21,               4,              8,       22,         18,        27
   9,            26,              18,             16,        43,          14,         39,            28,               5,             10,       29,         22,        17
  10,            28,              19,             18,        52,          15,         26,            36,               6,             12,       34,         26,        20
  11,            30,              20,             18,        59,          17,         29,            45,               7,             19,       40,         30,        27
  12,            33,              22,             25,        64,          18,         31,            55,               8,             16,       49,         35,        26
  13,            34,              22,             23,        71,          18,         82,            66,               8,             30,       56,         38,        29
  14,            42,              29,             25,        79,          24,         42,            78,               8,             36,       65,         42,        52
  15,            51,              37,             54,        84,          26,         42,            91,               9,             25,       69,         45,        34
  16,            62,              47,             38,        95,          30,         88,           105,              11,             46,       75,         50,        48
  17,            78,              62,             46,       107,          29,         43,           120,              13,             30,       83,         54,        38
  18,            91,              74,             54,       111,          34,         47,           136,              12,             32,       88,         57,        40
  19,            96,              78,             57,       126,          37,         73,           153,              16,             40,       99,         62,        62
  20,           110,              91,             69,       129,          38,         54,           171,              16,             41,      105,         66,        47
  21,           128,             108,             76,       148,          39,         60,           190,              17,             45,      110,         70,        65
  22,           131,             110,             98,       149,          38,         69,           210,              18,             56,      118,         77,        57
  23,           132,             110,            124,       151,          38,         97,           231,              18,             61,      128,         82,        74
  24,           154,             131,            108,       172,          43,         84,           253,              18,             58,      139,         86,        61
  25,           176,             152,            106,       181,          47,         72,           276,              19,             61,      153,         96,        66
  26,           189,             164,            113,       200,          47,         76,           300,              16,             65,      163,         99,        70
  27,           213,             187,            128,       195,          51,         77,           325,              20,            138,      172,        103,        93
  28,           235,             208,            146,       206,          51,         81,           351,              21,             77,      179,        107,        77
  29,           250,             222,            155,       215,          58,         86,           378,              24,             82,      192,        114,        82
  30,           266,             237,            165,       231,          57,         89,           406,              26,             89,      200,        116,        85
  31,           275,             245,            166,       243,          62,         95,           435,              27,             94,      208,        123,        90
  32,           286,             255,            173,       253,          63,         97,           465,              27,            100,      217,        130,        93
  33,           312,             280,            190,       274,          69,        107,           496,              29,            106,      226,        132,        96
  34,           342,             309,            221,       256,          66,        105,           528,              30,            118,      232,        138,       232
  35,           373,             339,            245,       276,          71,        117,           561,              27,            126,      241,        141,       106
  36,           385,             350,            272,       275,          74,        115,           595,              31,            132,      249,        145,       109
  37,           414,             378,            277,       287,          77,        141,           630,              32,            167,      263,        152,       115
  38,           437,             400,            286,       316,          80,        130,           666,              32,            147,      273,        163,       123
  39,           457,             419,            298,       319,          82,        129,           703,              32,            154,      289,        167,       125
  40,           482,             443,            313,       327,          80,        131,           741,              35,            162,      295,        170,       126
  41,           513,             473,            332,       347,          86,        140,           780,              37,            169,      302,        177,       130
  42,           535,             494,            356,       355,          83,        141,           820,              37,            178,      309,        183,       137
  43,           573,             531,            459,       374,          92,        152,           861,              36,            187,      321,        189,       141
  44,           580,             537,            379,       377,          90,        163,           903,              39,            195,      335,        198,       146
  45,           618,             574,            405,       405,          94,        160,           946,              39,            203,      338,        198,       145
  46,           622,             577,            408,       428,          99,        170,           990,              40,            213,      349,        204,       220
  47,           656,             610,            498,       435,          95,        176,          1035,              41,            261,      365,        210,       181
  48,           692,             645,            510,       400,          97,        197,          1081,              44,            267,      375,        218,       166
  49,           720,             672,            487,       423,         104,        171,          1128,              43,            248,      389,        224,       172
  50,           735,             686,            502,       440,         113,        182,          1176,              40,            250,      403,        237,       199
  51,           776,             726,            537,       444,         107,        179,          1225,              46,            273,      415,        242,       217
  52,           789,             738,            519,       491,         105,        189,          1275,              44,            272,      430,        251,       184
  53,           791,             739,            519,       490,         110,        191,          1326,              46,            281,      444,        259,       189
