  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              2,         0,           0,          1,             0,               0,              1,        0,          0,         1
  1,             0,               0,              1,         0,           0,          0,             0,               0,              0,        0,          0,         1
  2,             1,               1,              8,         3,           2,          6,             0,               0,              1,        0,          1,         4
  3,             2,               1,              4,         5,           2,          6,             1,               1,              2,        1,          2,         4
  4,             4,               2,              5,         9,           4,          8,             3,               1,              4,        4,          6,         8
  5,             5,               2,              5,        14,           4,         10,             6,               2,              5,        8,          9,        10
  6,            10,               6,             10,        21,           8,         16,            10,               2,              8,       12,         11,        14
  7,            13,               8,             12,        26,           8,         18,            15,               4,             11,       16,         12,        11
  8,            20,              15,             13,        32,          11,         15,            21,               4,              8,       20,         15,        12
  9,            26,              20,             17,        41,          14,         18,            28,               5,             10,       28,         20,        16
 10,            34,              27,             22,        50,          17,         22,            36,               6,             12,       35,         25,        19
 11,            40,              32,             25,        54,          17,         23,            45,               7,             14,       41,         28,        21
 12,            44,              35,             27,        64,          20,         27,            55,               8,             17,       46,         30,        23
 13,            55,              45,             34,        66,          20,         28,            66,               9,             19,       50,         32,        25
 14,            59,              48,             37,        77,          22,         31,            78,               9,             22,       54,         34,        26
 15,            67,              55,             41,        79,          22,         32,            91,              10,             25,       62,         39,        30
 16,            70,              57,             43,        88,          27,         36,           105,              11,             28,       71,         46,        35
 17,            83,              69,             51,        91,          24,         36,           120,              13,             32,       82,         54,        41
 18,            92,              77,             58,       102,          29,         41,           136,              11,             35,       91,         58,        44
 19,            95,              79,             59,       118,          34,         48,           153,              11,             39,       97,         59,        45
 20,           114,              98,             72,       122,          32,         48,           171,              11,             43,      107,         68,        50
 21,           133,             116,             86,       129,          36,         52,           190,              16,             49,      116,         72,        54
 22,           154,             136,             98,       129,          36,         51,           210,              16,             52,      124,         74,        56
 23,           168,             149,            148,       137,          39,         80,           231,              18,             84,      132,         81,        90
 24,           182,             162,            119,       149,          43,         62,           253,              21,             63,      140,         86,        64
 25,           198,             177,            126,       157,          41,         62,           276,              22,             67,      148,         91,        67
 26,           211,             189,            135,       173,          47,         67,           300,              21,             72,      154,         97,        71
 27,           235,             212,            150,       182,          51,         71,           325,              23,             78,      165,        100,        74
 28,           241,             217,            153,       204,          51,         77,           351,              24,             83,      172,        106,        78
 29,           248,             223,            157,       202,          56,         78,           378,              23,             89,      180,        107,        80
 30,           255,             229,            161,       202,          54,         78,           406,              25,             95,      183,        112,        82
 31,           268,             241,            170,       215,          57,        104,           435,              27,            102,      195,        116,        87
 32,           280,             252,            178,       225,          57,         85,           465,              27,            107,      204,        124,        90
 33,           293,             264,            186,       233,          64,         90,           496,              26,            112,      219,        131,        96
 34,           321,             291,            205,       263,          60,         97,           528,              26,            118,      228,        136,       100
 35,           329,             298,            209,       246,          65,         94,           561,              31,            134,      237,        144,       105
 36,           357,             325,            229,       251,          63,         95,           595,              32,            134,      251,        147,       108
 37,           386,             353,            249,       266,          71,        102,           630,              31,            140,      259,        153,       112
 38,           415,             381,            268,       277,          74,        105,           666,              31,            147,      267,        157,       115
 39,           419,             384,            270,       285,          75,        108,           703,              33,            155,      278,        161,       119
 40,           458,             423,            302,       347,          72,        120,           741,              34,            154,      292,        170,       119
 41,           486,             450,            300,       298,          77,        241,           780,              37,            165,      304,        175,       126
 42,           508,             471,            313,       308,          79,        111,           820,              40,            171,      314,        186,       129
 43,           538,             500,            354,       318,          82,        114,           861,              37,            218,      324,        193,       132
 44,           544,             505,            328,       323,          80,        113,           903,              36,            182,      336,        201,       135
 45,           558,             518,            336,       338,          85,        117,           946,              39,            190,      348,        207,       140
 46,           580,             539,            346,       350,          85,        121,           990,              42,            199,      358,        214,       146
 47,           610,             568,            367,       365,          91,        126,          1035,              43,            207,      367,        219,       147
 48,           635,             592,            497,       367,          86,        157,          1081,              44,            323,      379,        221,       213
 49,           677,             633,            530,       387,          96,        170,          1128,              40,            235,      394,        232,       163
 50,           716,             671,            432,       389,          93,        135,          1176,              41,            237,      402,        236,       173
 51,           726,             680,            442,       408,         105,        143,          1225,              47,            244,      407,        238,       163
 52,           729,             682,            439,       423,         108,        147,          1275,              48,            253,      417,        245,       230
 53,           748,             700,            472,       430,         104,        151,          1326,              50,            269,      429,        252,       174
